이름,지역,클래스,카테고리,세부분류
마애불상군,전라북도,장소,관광지,보물
암각매향명,전라남도,장소,관광지,보물
소래산마애상,경기도,장소,관광지,보물
농산리석불입상,경상남도,장소,관광지,보물
부소산성,충청남도,장소,관광지,유명사적/유적지
망덕사지,경상북도,장소,관광지,유명사적/유적지
사천왕사지,경상북도,장소,관광지,유명사적/유적지
월성,경상북도,장소,관광지,유명사적/유적지
경주남고루,경상북도,장소,관광지,유명사적/유적지
청마산성,충청남도,장소,관광지,유명사적/유적지
황남동고분군,경상북도,장소,관광지,유명사적/유적지
황오동고분군,경상북도,장소,관광지,유명사적/유적지
인왕동고분군,경상북도,장소,관광지,유명사적/유적지
죽도성,부산광역시,장소,관광지,유명사적/유적지
청산성,충청남도,장소,관광지,유명사적/유적지
분산성,경상남도,장소,관광지,유명사적/유적지
구산동고분군,경상남도,장소,관광지,유명사적/유적지
창녕송현동고분군,경상남도,장소,관광지,유명사적/유적지
천군동사지,경상북도,장소,관광지,유명사적/유적지
서울선잠단지,서울특별시,장소,관광지,유명사적/유적지
석성산성,충청남도,장소,관광지,유명사적/유적지
법기리도요지,경상남도,장소,관광지,유명사적/유적지
석주관칠의사묘,전라남도,장소,관광지,유명사적/유적지
문익점목화시배지,경상남도,장소,관광지,유명사적/유적지
아산맹씨행단,충청남도,장소,관광지,유명사적/유적지
사직공원사직단,서울특별시,장소,관광지,유명사적/유적지
울주천황산요지,울산광역시,장소,관광지,유명사적/유적지
영암사지,경상남도,장소,관광지,유명사적/유적지
참성단,인천광역시,장소,관광지,유명사적/유적지
서울문묘,서울특별시,장소,관광지,유명사적/유적지
문경관문,경상북도,장소,관광지,유명사적/유적지
서울육상궁,서울특별시,장소,관광지,유명사적/유적지
증산성,충청남도,장소,관광지,유명사적/유적지
낭산,경상북도,장소,관광지,유명사적/유적지
고려고분군,경상남도,장소,관광지,유명사적/유적지
동래패총,부산광역시,장소,관광지,유명사적/유적지
영릉,경기도,장소,관광지,유명사적/유적지
경산병영유적,경상북도,장소,관광지,유명사적/유적지
지마왕릉,경상북도,장소,관광지,왕릉/고분
숭의전지,경기도,장소,관광지,유명사적/유적지
둔마리벽화고분,경상남도,장소,관광지,유명사적/유적지
분청사기요지,전라북도,장소,관광지,유명사적/유적지
선원사지,인천광역시,장소,관광지,유명사적/유적지
예안리고분군,경상남도,장소,관광지,유명사적/유적지
불로동고분군,대구광역시,장소,관광지,유명사적/유적지
남원읍성,전라북도,장소,관광지,유명사적/유적지
진산리청자요지,전라남도,장소,관광지,유명사적/유적지
운주사지,전라남도,장소,관광지,유명사적/유적지
황석산성,경상남도,장소,관광지,유명사적/유적지
산수리요지,충청북도,장소,관광지,유명사적/유적지
옥전고분군,경상남도,장소,관광지,유명사적/유적지
다호리고분군,경상남도,장소,관광지,유명사적/유적지
용강동고분,경상북도,장소,관광지,유명사적/유적지
학봉리도요지,충청남도,장소,관광지,유명사적/유적지
석장리구석기유적,충청남도,장소,관광지,유명사적/유적지
연대도패총,경상남도,장소,관광지,유명사적/유적지
구림리토기요지,전라남도,장소,관광지,유명사적/유적지
용계리청자요지,전라북도,장소,관광지,유명사적/유적지
입점리고분,전라북도,장소,관광지,유명사적/유적지
구정동고분군,경상북도,장소,관광지,유명사적/유적지
오두산성,경기도,장소,관광지,유명사적/유적지
춘궁동동사지,경기도,장소,관광지,유명사적/유적지
영회원,경기도,장소,관광지,유명사적/유적지
소령원,경기도,장소,관광지,유명사적/유적지
수길원,경기도,장소,관광지,유명사적/유적지
태종후궁명빈묘,경기도,장소,관광지,유명사적/유적지
보길도윤선도유적,전라남도,장소,관광지,유명사적/유적지
석릉,인천광역시,장소,관광지,유명사적/유적지
곤릉,인천광역시,장소,관광지,유명사적/유적지
대도리백자요지,전라남도,장소,관광지,유명사적/유적지
충민사,전라남도,장소,관광지,유명사적/유적지
오산리선사유적,강원도,장소,관광지,유명사적/유적지
절두산순교성지잠두봉유적,서울특별시,장소,관광지,유명사적/유적지
장미산성,충청북도,장소,관광지,유명사적/유적지
미륵산성,충청북도,장소,관광지,유명사적/유적지
복암리고분군,전라남도,장소,관광지,유명사적/유적지
제석사지,전라북도,장소,관광지,유명사적/유적지
백산성,전라북도,장소,관광지,유명사적/유적지
방산동백자요지,경기도,장소,관광지,유명사적/유적지
송시열유적,충청북도,장소,관광지,유명사적/유적지
검단산성,전라남도,장소,관광지,유명사적/유적지
능안골고분군,충청남도,장소,관광지,유명사적/유적지
이성산성,경기도,장소,관광지,유명사적/유적지
설봉산성,경기도,장소,관광지,유명사적/유적지
화지산유적,충청남도,장소,관광지,유명사적/유적지
왕흥사지,충청남도,장소,관광지,유명사적/유적지
구지봉,경상남도,장소,관광지,유명사적/유적지
해남윤선도유적,전라남도,장소,관광지,유명사적/유적지
부여능산리사지,충청남도,장소,관광지,유명사적/유적지
금강사지,충청남도,장소,관광지,유명사적/유적지
선농단공원선농단,서울특별시,장소,관광지,유명사적/유적지
칠중성,경기도,장소,관광지,유명사적/유적지
윤보선가,서울특별시,장소,관광지,유명사적/유적지
오이도유적,경기도,장소,관광지,유명사적/유적지
숭선사지,충청북도,장소,관광지,유명사적/유적지
영원산성,강원도,장소,관광지,유명사적/유적지
강릉굴산사지당간지주,강원도,장소,관광지,유명사적/유적지
마하리백제고분군,경기도,장소,관광지,유명사적/유적지
하동읍성,경상남도,장소,관광지,유명사적/유적지
양동리고분군,경상남도,장소,관광지,유명사적/유적지
오량동토기요지,전라남도,장소,관광지,유명사적/유적지
월정교지,경상북도,장소,관광지,유명사적/유적지
박익벽화묘,경상남도,장소,관광지,유명사적/유적지
백석동천유적,서울특별시,장소,관광지,유명사적/유적지
혜음원지,경기도,장소,관광지,유명사적/유적지
은대리성,경기도,장소,관광지,유명사적/유적지
봉선리유적,충청남도,장소,관광지,유명사적/유적지
정지산유적,충청남도,장소,관광지,유명사적/유적지
부장리고분군,충청남도,장소,관광지,유명사적/유적지
경주남산신성,경상북도,장소,관광지,유명사적/유적지
유천리도요지,전라북도,장소,관광지,유명사적/유적지
진서리도요지,전라북도,장소,관광지,유명사적/유적지
사부동도요지,경상북도,장소,관광지,유명사적/유적지
기산동도요지,경상북도,장소,관광지,유명사적/유적지
나주덕산리고분군,전라남도,장소,관광지,유명사적/유적지
함안말이산고분군,경상남도,장소,관광지,유명사적/유적지
성동리전랑지,경상북도,장소,관광지,유명사적/유적지
신기리고분군,경상남도,장소,관광지,유명사적/유적지
신기리산성,경상남도,장소,관광지,유명사적/유적지
회암사지,경기도,장소,관광지,유명사적/유적지
충효동도요지,광주광역시,장소,관광지,유명사적/유적지
전곶교,서울특별시,장소,관광지,유명사적/유적지
경주동부사적지,경상북도,장소,관광지,유명사적/유적지
고아동벽화고분,경상북도,장소,관광지,유명사적/유적지
헌안왕릉,경상북도,장소,관광지,왕릉/고분
한국예술종합학교의릉,서울특별시,장소,관광지,유명사적/유적지
우정총국,서울특별시,장소,관광지,유명사적/유적지
고종홍릉,인천광역시,장소,관광지,유명사적/유적지
진흥왕순수비유지,서울특별시,장소,관광지,유명사적/유적지
동삼동패총,부산광역시,장소,관광지,유명사적/유적지
미사리선사유적지,경기도,장소,관광지,유명사적/유적지
관상감관천대,서울특별시,장소,관광지,유명사적/유적지
경주남산,경상북도,장소,관광지,유명사적/유적지
읍내리벽화고분,경상북도,장소,관광지,유명사적/유적지
조선백자도요지,경기도,장소,관광지,유명사적/유적지
울산경상좌도병영성,울산광역시,장소,관광지,유명사적/유적지
조영동고분군,경상북도,장소,관광지,유명사적/유적지
천관사지,경상북도,장소,관광지,유명사적/유적지
조선백자요지,경기도,장소,관광지,유명사적/유적지
삼용리백제토기요지,충청북도,장소,관광지,유명사적/유적지
계족산성,대전광역시,장소,관광지,유명사적/유적지
순강원,경기도,장소,관광지,유명사적/유적지
광해군묘,경기도,장소,관광지,유명사적/유적지
성묘,경기도,장소,관광지,유명사적/유적지
안빈묘,경기도,장소,관광지,유명사적/유적지
영빈묘,경기도,장소,관광지,유명사적/유적지
가릉,인천광역시,장소,관광지,유명사적/유적지
양천고성지,서울특별시,장소,관광지,유명사적/유적지
정암리와요지,충청남도,장소,관광지,유명사적/유적지
수양개선사유적,충청북도,장소,관광지,유명사적/유적지
왕궁리유적,전라북도,장소,관광지,유명사적/유적지
진천동입석,대구광역시,장소,관광지,유명사적/유적지
문암선사유적지,강원도,장소,관광지,유명사적/유적지
장선리토실유적,충청남도,장소,관광지,유명사적/유적지
정양산성,강원도,장소,관광지,유명사적/유적지
군곡리패총,전라남도,장소,관광지,유명사적/유적지
늑도유적,경상남도,장소,관광지,유명사적/유적지
강화외성,인천광역시,장소,관광지,유명사적/유적지
수촌리고분군,충청남도,장소,관광지,유명사적/유적지
황상동고분군,경상북도,장소,관광지,유명사적/유적지
진동리유적지,경상남도,장소,관광지,유명사적/유적지
도동측백수림,대구광역시,장소,관광지,천연기념물
조계사백송,서울특별시,장소,관광지,천연기념물
크낙새서식지,경기도,장소,관광지,천연기념물
왜가리번식지,충청북도,장소,관광지,천연기념물
쌍암면이팝나무,전라남도,장소,관광지,천연기념물
병영면비자나무,전라남도,장소,관광지,천연기념물
예송리상록수림,전라남도,장소,관광지,천연기념물
울릉국화섬,경상북도,장소,관광지,천연기념물
팔손이나무자생지,경상남도,장소,관광지,천연기념물
두서면은행나무,울산광역시,장소,관광지,천연기념물
석포면열목어서식지,경상북도,장소,관광지,천연기념물
영월은행나무,강원도,장소,관광지,천연기념물
사기리탱자나무,인천광역시,장소,관광지,천연기념물
청천리의팽나무,전라남도,장소,관광지,천연기념물
행정은행나무,충청남도,장소,관광지,천연기념물
내장산굴거리나무,전라북도,장소,관광지,천연기념물
성황림,강원도,장소,관광지,천연기념물
붉가시나무자생지,전라남도,장소,관광지,천연기념물
